label,description,image,located in the administrative territorial entity
20 August Provincial Hospital in Azrou,"Hospital in Azrou, Morocco",,Azrou
Abou Kacem Zahraoui Hospital,"hospital in Ouezzane, Morocco",,Ouazzane
Al Idrissi Hospital,"hospital in Kenitra, Morocco",,Kenitra
Arrazi Hospital,"hospital in Marrakesh, part of Mohammed VI University Hospital of Marrakesh",,
Azemmour Hospital,"hospital in El Jadida, Morocco",,Azemmour
Bejaad Hospital,"hospital in Khouribga, Morocco",,Boujad
Ben Ahmed Hospital,"hospital in Settat, Morocco",,Ben Ahmed NAZIS
Benchimol hospital (Tangier),former hospital in Morocco,,Tangier
Berrchid hospital,"hospital in Berrechid, Morocco",,Berrechid
Bimarestan Safi,,,Safi
CHU Agadir,,,Agadir
CHU Hassan II,"healthcare organization in Fes, Morocco",,Fez
CHU Ibn Rochd,"healthcare organization in Casablanca, Morocco",,Casablanca
CHU Ibn Tofail,hospital in Morocco,,Marrakesh
CHU Mohammed VI,"healthcare organization in Marrakesh, Morocco",,Marrakesh
CHU Oujda,"healthcare organization in Oujda, Morocco",,Oujda
CHU Rabat-Salé,"healthcare organization in Salé, Morocco",,Salé
CHU Tangier,,,Tangier
Cheikh Zaid hospital (Rabat),building in Morocco,,Rabat
Dar el Beida Palace hospital,Moroccan cultural heritage site,,Marrakesh
El Ayachi hospital,"organization in Salé, Morocco",,Salé
Errazi Hospital,"hospital in Berrechid, Morocco",,Berrechid
Hassan II Hospital (Khouribga),"hospital in Khouribga, Morocco",,Khouribga
Hassan II Hospital (Settat),"hospital in Settat, Morocco",,Settat
Hassan II hospital (Ben Slimane),"hospital in Ben Slimane, Morocco",,Ben Slimane
Hospital of Sidi Layachi,"hospital in El Jadida, Morocco",,Sidi Ali Ben Hamdouche
Hôpital Ibn Sina-Rabat,"healthcare organization in Rabat, Morocco",,Rabat
Ibn Al-Nafees Hospital,hospital in Morocco,,Marrakesh
Ibn Samim Hospital,A hospital in Morocco,,Ben Smim
Ibn Sina hospital center,"healthcare organization in Rabat, Morocco",,Rabat
Ibn Zohr Hospital,"hospital in Marrakesh, Morocco",,Marrakesh
Kobry Dental Center,Dental Center,,Rabat
Lalla Hasna Hospital,"hospital in Youssoufia, Morocco",,Youssoufia
Louis hotel hospital,Moroccan cultural heritage site,,Meknes
Madrasa Bou Inaniya (Salé),Moroccan cultural heritage site,,Salé
Maristan of Sidi Frej,"historic maristan in Fez, Morocco",,Fez
Mohamed V Hospital (El Jadida),"hospital in El Jadida, Morocco",,El Jadida
Mohamed V Hospital (Safi),"hospital in Safi, Morocco",,Safi
Moulay Ismaïl Hospital,Moroccan cultural heritage site,,Meknes
Oued Zem Hospital,"hospital in Khouribga, Morocco",,Oued Zem
Sidi Kacem Hospital,"hospital in Sidi Kacem, Morocco",,Sidi Kacem
Sidi Slimane Hospital,"hospital in Sidi Slimane, Morocco",,Sidi Slimane
Zaki Dental Center,Dental Center,,
Zemamra Hospital,"hospital in Sidi Bennour, Morocco",,Zemamra
Zoubir Skirej Hospital (Souk Larbaa),"hospital in Kenitra, Morocco",,Souk El Arbaa
